regionName,dataDate,minT,maxT
北部地區,2026-09-23,23.3,29.3
北部地區,2026-09-24,23.7,29.4
北部地區,2026-09-25,24.1,29.6
北部地區,2026-09-26,24.3,29.4
北部地區,2026-09-27,23.9,29.9
北部地區,2026-09-28,24.3,29.4
北部地區,2026-09-29,24.9,29.6
中部地區,2026-09-23,25.5,30.9
中部地區,2026-09-24,25.3,31.1
中部地區,2026-09-25,24.9,30.9
中部地區,2026-09-26,24.5,31.0
中部地區,2026-09-27,24.8,31.2
中部地區,2026-09-28,25.2,31.2
中部地區,2026-09-29,25.8,31.7
南部地區,2026-09-23,26.5,30.8
南部地區,2026-09-24,26.5,30.8
南部地區,2026-09-25,26.7,30.8
南部地區,2026-09-26,26.7,30.8
南部地區,2026-09-27,26.7,30.8
南部地區,2026-09-28,26.7,31.2
南部地區,2026-09-29,26.8,31.0
東北部地區,2026-09-23,23.0,28.5
東北部地區,2026-09-24,23.5,28.5
東北部地區,2026-09-25,24.0,28.5
東北部地區,2026-09-26,24.0,28.5
東北部地區,2026-09-27,23.5,30.0
東北部地區,2026-09-28,23.5,30.0
東北部地區,2026-09-29,24.0,28.0
東部地區,2026-09-23,24.0,29.0
東部地區,2026-09-24,24.0,29.0
東部地區,2026-09-25,24.5,29.5
東部地區,2026-09-26,25.0,29.5
東部地區,2026-09-27,25.0,29.5
東部地區,2026-09-28,25.5,30.5
東部地區,2026-09-29,25.5,29.5
東南部地區,2026-09-23,25.0,29.5
東南部地區,2026-09-24,25.0,29.5
東南部地區,2026-09-25,25.0,29.5
東南部地區,2026-09-26,25.0,29.5
東南部地區,2026-09-27,25.0,29.5
東南部地區,2026-09-28,25.0,29.5
東南部地區,2026-09-29,25.0,30.5
